year,Dem_candidate,Dem_votes,totalvotes,Rep_candidate,Rep_votes,Third_party_votes,state,Median income,Standard error,Population
1984,"MONDALE, WALTER",551899.0,1441713.0,"REAGAN, RONALD",872849.0,16965.0,Alabama,41190.0,1440.0,3893888.0
1984,"MONDALE, WALTER",62007.0,207605.0,"REAGAN, RONALD",138377.0,7221.0,Alaska,76992.0,3505.0,401851.0
1984,"MONDALE, WALTER",333854.0,1025897.0,"REAGAN, RONALD",681416.0,10627.0,Arizona,50981.0,1449.0,2718215.0
1984,"MONDALE, WALTER",338646.0,884406.0,"REAGAN, RONALD",534774.0,10986.0,Arkansas,37297.0,1780.0,2286435.0
1984,"MONDALE, WALTER",3922519.0,9505041.0,"REAGAN, RONALD",5467009.0,115513.0,California,60171.0,866.0,23667902.0
1984,"MONDALE, WALTER",454975.0,1295380.0,"REAGAN, RONALD",821817.0,18588.0,Colorado,61394.0,1916.0,2889964.0
1984,"MONDALE, WALTER",569597.0,1466900.0,"REAGAN, RONALD",890877.0,6426.0,Connecticut,71269.0,2946.0,3107576.0
1984,"MONDALE, WALTER",101656.0,254572.0,"REAGAN, RONALD",152190.0,726.0,Delaware,61437.0,2444.0,594338.0
1984,"MONDALE, WALTER",1448816.0,4180051.0,"REAGAN, RONALD",2730350.0,885.0,Florida,47079.0,1114.0,9746324.0
1984,"MONDALE, WALTER",706628.0,1776103.0,"REAGAN, RONALD",1068722.0,753.0,Georgia,47552.0,1939.0,5463105.0
1984,"MONDALE, WALTER",147154.0,335846.0,"REAGAN, RONALD",185050.0,3642.0,Hawaii,68714.0,2894.0,964691.0
1984,"MONDALE, WALTER",108510.0,411144.0,"REAGAN, RONALD",297523.0,5111.0,Idaho,50189.0,2291.0,943935.0
1984,"MONDALE, WALTER",2086499.0,4819088.0,"REAGAN, RONALD",2707103.0,25486.0,Illinois,56518.0,1349.0,11426518.0
1984,"MONDALE, WALTER",841481.0,2233069.0,"REAGAN, RONALD",1377230.0,14358.0,Indiana,54182.0,1689.0,5490224.0
1984,"MONDALE, WALTER",605620.0,1319805.0,"REAGAN, RONALD",703088.0,11097.0,Iowa,47265.0,1773.0,2913808.0
1984,"MONDALE, WALTER",333149.0,1021991.0,"REAGAN, RONALD",677296.0,11546.0,Kansas,58605.0,2170.0,2363679.0
1984,"MONDALE, WALTER",539539.0,1369345.0,"REAGAN, RONALD",821702.0,8104.0,Kentucky,42070.0,2568.0,3660777.0
1984,"MONDALE, WALTER",651586.0,1706822.0,"REAGAN, RONALD",1037299.0,17937.0,Louisiana,45090.0,2094.0,4205900.0
1984,"MONDALE, WALTER",214515.0,553144.0,"REAGAN, RONALD",336500.0,2129.0,Maine,49132.0,2104.0,1124660.0
1984,"MONDALE, WALTER",787935.0,1675873.0,"REAGAN, RONALD",879918.0,8020.0,Maryland,70691.0,2739.0,4216975.0
1984,"MONDALE, WALTER",1239606.0,2559383.0,"REAGAN, RONALD",1310936.0,8841.0,Massachusetts,64150.0,1649.0,5737037.0
1984,"MONDALE, WALTER",1529638.0,3801658.0,"REAGAN, RONALD",2251571.0,20449.0,Michigan,54646.0,1511.0,9262078.0
1984,"MONDALE, WALTER",1036364.0,2084449.0,"REAGAN, RONALD",1032603.0,15482.0,Minnesota,58146.0,2175.0,4075970.0
1984,"MONDALE, WALTER",352192.0,941104.0,"REAGAN, RONALD",582377.0,6535.0,Mississippi,36716.0,1742.0,2520638.0
1984,"MONDALE, WALTER",146742.0,384377.0,"REAGAN, RONALD",232450.0,5185.0,Montana,46486.0,1713.0,786690.0
1984,"MONDALE, WALTER",187866.0,652090.0,"REAGAN, RONALD",460054.0,4170.0,Nebraska,50915.0,1820.0,1569825.0
